"","C","phi","ppi","ppitil","F","D","A","ii","v","r"
"1",0,0,0,0,0,0,0,0,0,0.0101010101010101
"2",-0.97679961476379,-5.71952746532599,-0.267061441844508,-2.39320379496373,-5.72478899017877,-3.67121765323852,0,0.108607038086817,1,0.267061441844508
"3",-0.690894859440305,-4.07442496988744,-0.180682377593618,-1.67407612221617,-4.00500696414613,-2.54701586209435,0,0.0823301395031457,0.7,0.289289415680435
"4",-0.487013487903132,-2.88673378642081,-0.123539312994023,-1.17139667841124,-2.80239570143113,-1.77183145037373,0,0.0605893989728039,0.49,0.205869452497169
"5",-0.342533445943327,-2.03768147353627,-0.0850800924624027,-0.819793063838958,-1.96114906154549,-1.23489109427083,0,0.0438191438858954,0.343,0.145669491435207
"6",-0.240557344953674,-1.43469168517443,-0.0588853959471068,-0.573778025185567,-1.37255141410016,-0.861795344837679,0,0.0313483315836981,0.2401,0.102704539833002
"7",-0.168770305220023,-1.00835892107973,-0.0408958681521664,-0.401611384744915,-0.960664125756738,-0.601973330658789,0,0.0222697564011318,0.16807,0.0722441997358646
"8",-0.118324156587202,-0.707848158899349,-0.0284699855543227,-0.281113242934661,-0.672405907610452,-0.420754011612168,0,0.0157469142251444,0.117649,0.0507397419554545
"9",-0.0829170781798005,-0.496472322241825,-0.0198525405506371,-0.196772587243388,-0.470655491672789,-0.294220954091284,0,0.0110997524723475,0.0823543,0.0355994547757814
"10",-0.0580859830263125,-0.348010192735593,-0.01385950218857,-0.137737719067044,-0.329444898110398,-0.205804492222372,0,0.00780732698265445,0.05764801,0.0249592546609174
"11",-0.040681709357171,-0.243842140537065,-0.00968344896194184,-0.0964149508193346,-0.230604626048858,-0.143989621232699,0,0.00548344025233048,0.040353607,0.0174907759445963
"12",-0.0284877239760895,-0.170804657522461,-0.00676951646211898,-0.0674897752744097,-0.161419915630945,-0.100756729961515,0,0.00384735895733075,0.0282475249,0.0122529567144495
"13",-0.0199465590714709,-0.119619690515738,-0.00473430893335089,-0.0472425117952757,-0.112992316548066,-0.0705120759566191,0,0.00269752969890413,0.01977326743,0.00858166789068165
"14",-0.0139651138656549,-0.0837614349796345,-0.00331188599626776,-0.0330695986372365,-0.079093826897858,-0.0493498145451188,0,0.00189041366736066,0.013841287201,0.00600941569517188
"15",-0.00977681501738159,-0.0586465540563852,-0.00231727723195255,-0.0231486416966464,-0.0553652898680701,-0.0345406381246804,0,0.00132433870322409,0.00968890104069999,0.00420769089931321
"16",-0.00684437556758288,-0.041059227225182,-0.00162158330420774,-0.016204011582821,-0.0387555124667149,-0.024176373277518,0,0.000927550869350528,0.00678223072848999,0.00294592200743183
"17",-0.00479135928976859,-0.0287447123899609,-0.00113485814252637,-0.0113427897831975,-0.0271287654620256,-0.0169224454257599,0,0.000649537256626302,0.00474756150994299,0.0020624090118769
"18",-0.00335409670607634,-0.020122892817187,-0.000794278150924014,-0.00793994390398955,-0.018990090141402,-0.0118452140575598,0,0.000454799351995439,0.0033232930569601,0.00144381540755032
"19",-0.00234793883389095,-0.0140868061067057,-0.000555934668598785,-0.00555795636203449,-0.0132930407208631,-0.00829140595953737,0,0.000318419937770861,0.00232630513987207,0.00101073402059422
"20",-0.00164359203871367,-0.00986114703194207,-0.000389124853944458,-0.00389056731590065,-0.00930511754146934,-0.00580386467425864,0,0.000222923544076006,0.00162841359791045,0.00070754479171532
"21",-0.00115053150487876,-0.00690299047390042,-0.000272372986254813,-0.00272339607512162,-0.00651357690778509,-0.00406264671966028,0,0.000156060977383327,0.00113988951853731,0.000495296530330819
"22",-0.000805380421131652,-0.00483218523219531,-0.000190654029223008,-0.00190637674053473,-0.00455950120382687,-0.00284382401362082,0,0.000109249786973097,0.000797922662976119,0.000346715006606335
"23",-0.000563770394845786,-0.00338257469386649,-0.000133454360659721,-0.00133446346766153,-0.00319164955325801,-0.0019906627515387,0,7.64783310751652e-05,0.000558545864083283,0.000242704147632818
"24",-0.000394641285361708,-0.002367824351035,-9.34163572147369e-05,-0.000934124304574624,-0.00223415405549154,-0.00139345703769056,0,5.35365369999305e-05,0.000390982104858298,0.000169894688289902
"25",-0.000276249884145763,-0.00165748785777575,-6.53906194023962e-05,-0.000653886953061456,-0.00156390752926727,-0.000975416551074471,0,3.74764114390719e-05,0.000273687473400809,0.000118927156402327
"26",-0.000193375401247309,-0.00116024679833737,-4.57730265652059e-05,-0.00045772083767659,-0.00109473511875624,-0.000682789931816252,0,2.62338974238441e-05,0.000191581231380566,8.32494380042778e-05
"27",-0.000135363017217394,-0.000812175354791833,-3.20409191617257e-05,-0.000320404571929611,-0.000766314508759969,-0.000477952141841875,0,1.83639288071219e-05,0.000134106861966396,5.82748165855698e-05
"28",-9.47542278528779e-05,-0.000568524020327921,-2.24285456985463e-05,-0.00022428319329526,-0.000536420119667813,-0.000334566102144773,0,1.28548484561869e-05,9.38748033764774e-05,4.07924745056682e-05
"29",-6.63280162460644e-05,-0.000397967437570923,-1.56999341038119e-05,-0.000156998231826133,-0.000375494065862902,-0.000234196076875914,0,8.99844208625267e-06,6.57123623635342e-05,2.85547825599988e-05
"30",-4.64296391999852e-05,-0.000278577511791944,-1.09899304065402e-05,-0.000109898760591864,-0.000262845837306624,-0.000163937158392802,0,6.298933055357e-06,4.59986536544739e-05,1.99883724927928e-05
"31",-3.25007610602057e-05,-0.000195004407910204,-7.69293979486515e-06,-7.69291315871889e-05,-0.00018399208174813,-0.000114755964086832,0,4.4092646948532e-06,3.21990575581317e-05,1.39918728502221e-05
"32",-2.27505394301275e-05,-0.000136503158931767,-5.38505221803541e-06,-5.38503916902577e-05,-0.000128794455012127,-8.03291518636229e-05,0,3.08649095465824e-06,2.25393402906922e-05,9.79431691288861e-06
"33",-1.59253808806881e-05,-9.55522472145809e-05,-3.76953378713209e-06,-3.76952739578051e-05,-9.01561173827226e-05,-5.62303950180087e-05,0,2.16054644851943e-06,1.57775382034846e-05,6.85602474179033e-06
"34",-1.11477682085415e-05,-6.68865905883997e-05,-2.63867230334038e-06,-2.63866916871969e-05,-6.31092815672751e-05,-3.93612709093105e-05,0,1.5123838724776e-06,1.10442767424392e-05,4.79921875185981e-06
"35",-7.80343852868626e-06,-4.68206220349821e-05,-1.84706995071301e-06,-1.84706841266369e-05,-4.41764967384906e-05,-2.75528868387553e-05,0,1.05866937698956e-06,7.73099371970743e-06,3.35945382319061e-06
"36",-5.46240737087089e-06,-3.27744397399243e-05,-1.29294863453101e-06,-1.29294788542289e-05,-3.09235474893477e-05,-1.92870193704842e-05,0,7.41068892015639e-07,5.4116956037952e-06,2.35161801152058e-06
"37",-3.82368534612709e-06,-2.29421098896232e-05,-9.05063883827365e-07,-9.05063515244109e-06,-2.16464830726792e-05,-1.35009128210406e-05,0,5.18748387301482e-07,3.78818692265664e-06,1.646132775843e-06
"38",-2.67657984664993e-06,-1.6059477991881e-05,-6.33544637348836e-07,-6.33544459116564e-06,-1.51525380354123e-05,-9.45063859392192e-06,0,3.63123948618482e-07,2.65173084585965e-06,1.15229302465032e-06
"39",-1.87360592596164e-06,-1.12416350006583e-05,-4.43481208300294e-07,-4.43481117384792e-06,-1.06067765126561e-05,-6.61544679037007e-06,0,2.54186807713275e-07,1.85621159210175e-06,8.06605156918776e-07
"40",-1.31152416704694e-06,-7.86914474693035e-06,-3.10436822782546e-07,-3.1043678294651e-06,-7.42474345338806e-06,-4.63081257784381e-06,0,1.77930792495673e-07,1.29934811447123e-06,5.6462363049582e-07
"41",-9.18066922483973e-07,-5.50840140167708e-06,-2.17305766979123e-07,-2.17305748950736e-06,-5.19732032966402e-06,-3.24156868014569e-06,0,1.24551566282882e-07,9.09543680129859e-07,3.95236559474796e-07
"42",-6.42646846849004e-07,-3.85588101448064e-06,-1.52114035713367e-07,-1.52114023599381e-06,-3.63812414638787e-06,-2.26909798728414e-06,0,8.71860980980466e-08,6.36680576090901e-07,2.76665601996249e-07
"43",-4.49852788353411e-07,-2.69911667460931e-06,-1.06479822443954e-07,-1.06479812744809e-06,-2.54668677257541e-06,-1.58836848118682e-06,0,6.10302749309843e-08,4.45676403263631e-07,1.93665920542e-07
"44",-3.14896964059841e-07,-1.88938175105235e-06,-7.4535871464196e-08,-7.45358674780761e-07,-1.78268065864629e-06,-1.11185787243784e-06,0,4.27211929027171e-08,3.11973482284542e-07,1.3556614639518e-07
"45",-2.20427875952112e-07,-1.32256720020152e-06,-5.21751118108766e-08,-5.21751064574971e-07,-1.24787634669943e-06,-7.783003908024e-07,0,2.99048317359274e-08,2.18381437599179e-07,9.48963047135937e-08
"46",-1.5429950650514e-07,-9.2579702792861e-07,-3.6522580959674e-08,-3.65225782950063e-07,-8.73513339438858e-07,-5.44810163649601e-07,0,2.09333817641211e-08,1.52867006319425e-07,6.64274126956014e-08
"47",-1.08009678978505e-07,-6.48058040564337e-07,-2.55658044701392e-08,-2.5565803918326e-07,-6.11459205490661e-07,-3.8136697133595e-07,0,1.46533582143227e-08,1.07006904423598e-07,4.64991862342603e-08
"48",-7.56067763951762e-08,-4.53640669473288e-07,-1.78960583941163e-08,-1.78960612995382e-07,-4.2802128508157e-07,-2.66956734495949e-07,0,1.02573572899334e-08,7.49048330965184e-08,3.25494166084389e-08
"49",-5.29247645708608e-08,-3.17548543016244e-07,-1.25272394231558e-08,-1.25272447970559e-07,-2.99614733023645e-07,-1.86869519858135e-07,0,7.18014172423898e-09,5.24333831675629e-08,2.27845967130892e-08
"50",-3.70473318689335e-08,-2.2228394680468e-07,-8.76906630465149e-09,-8.76906880442618e-08,-2.09730122158192e-07,-1.30808508469471e-07,0,5.02610297131723e-09,3.6703368217294e-08,1.59492080288905e-08
"51",-2.59331445207067e-08,-1.55598878226471e-07,-6.13834212435731e-09,-6.13834649776379e-08,-1.4681088567059e-07,-9.15657549782622e-08,0,3.51827230543611e-09,2.56923577521058e-08,1.11644450956745e-08
"52",-1.81531900622645e-08,-1.08919095964666e-07,-4.29684558809301e-09,-4.29684066105551e-08,-1.02767394594139e-07,-6.40958397468694e-08,0,2.46278691884427e-09,1.79846504264741e-08,7.81511789352912e-09
"53",-1.27072463662614e-08,-7.62434781975685e-08,-3.00778074838845e-09,-3.00778291162374e-08,-7.19369674939685e-08,-4.48669212893549e-08,0,1.7239610780595e-09,1.25892552985318e-08,5.47056766723272e-09
"54",-8.89507356660602e-09,-5.33703969907151e-08,-2.10545328606432e-09,-2.10544692791359e-08,-5.03556751851875e-08,-3.14066550544112e-08,0,1.20676194731439e-09,8.81247870897229e-09,3.82941436412382e-09
"55",-6.22655260684724e-09,-3.73593045388532e-08,-1.47381401731663e-09,-1.47380996295965e-08,-3.52487705690407e-08,-2.19844809024039e-08,0,8.44737821359409e-10,6.1687350962806e-09,2.68057596463102e-09
"56",-4.35859126568516e-09,-2.6151547594111e-08,-1.03166925854319e-09,-1.03166697407175e-08,-2.46739295661769e-08,-1.53889345710922e-08,0,5.91315017783867e-10,4.31811456739642e-09,1.8764070799026e-09
"57",-3.05102609843289e-09,-1.83061454883671e-08,-7.22155542479597e-10,-7.22161219712802e-09,-1.72715508561794e-08,-1.0772094327649e-08,0,4.13933817777767e-10,3.0226801971775e-09,1.31347056026346e-09
"58",-2.13572493024117e-09,-1.2814305172526e-08,-5.05511695687638e-10,-5.05507857795351e-09,-1.20898957511884e-08,-7.54033502303741e-09,0,2.89746178439021e-10,2.11587613802425e-09,9.19445513465405e-10
"59",-1.49501522272999e-09,-8.97004692745895e-09,-3.53848355968772e-10,-3.53853613077604e-09,-8.46276382304723e-09,-5.27807797467972e-09,0,2.02833236317979e-10,1.48111329661697e-09,6.43594534407793e-10
