"","C","ii","A","ppi","m","psi"
"1",0,0,0,0,0,0
"2",-1.11022302462516e-14,-4.54545454545468,0,0,-2.22044604925031e-14,-5
"3",-1.11022302462516e-14,-4.09090909090921,0,-4.50000000000001,0,-4.5
"4",-1.11022302462516e-14,-3.68181818181829,0,-4.05,0,-4.05
"5",-1.11022302462516e-14,-3.31363636363645,0,-3.645,0,-3.645
"6",-1.11022302462516e-14,-2.98227272727281,0,-3.28049999999999,-2.22044604925031e-14,-3.2805
"7",-1.11022302462516e-14,-2.68404545454554,0,-2.95245,-2.22044604925031e-14,-2.95245
"8",-1.11022302462516e-14,-2.41564090909098,0,-2.65720500000001,-2.22044604925031e-14,-2.657205
"9",-1.11022302462516e-14,-2.17407681818188,0,-2.3914845,-2.22044604925031e-14,-2.3914845
"10",-1.11022302462516e-14,-1.95666913636369,0,-2.15233605,-2.22044604925031e-14,-2.15233605
"11",-1.11022302462516e-14,-1.76100222272733,0,-1.937102445,-2.22044604925031e-14,-1.937102445
"12",-1.11022302462516e-14,-1.5849020004546,0,-1.74339220050001,-2.22044604925031e-14,-1.7433922005
"13",-1.11022302462516e-14,-1.42641180040913,0,-1.56905298045001,0,-1.56905298045
"14",-1.11022302462516e-14,-1.28377062036822,0,-1.412147682405,-2.22044604925031e-14,-1.412147682405
"15",-1.11022302462516e-14,-1.15539355833139,0,-1.2709329141645,-2.22044604925031e-14,-1.2709329141645
"16",-1.11022302462516e-14,-1.03985420249826,0,-1.14383962274805,-2.22044604925031e-14,-1.14383962274805
"17",-1.11022302462516e-14,-0.93586878224843,0,-1.02945566047325,-2.22044604925031e-14,-1.02945566047325
"18",-1.11022302462516e-14,-0.842281904023589,0,-0.92651009442592,-2.22044604925031e-14,-0.926510094425921
"19",-1.11022302462516e-14,-0.758053713621229,0,-0.83385908498333,-2.22044604925031e-14,-0.833859084983329
"20",-1.11022302462516e-14,-0.682248342259109,0,-0.750473176484996,-2.22044604925031e-14,-0.750473176484997
"21",-1.11022302462516e-14,-0.614023508033195,0,-0.675425858836499,-2.22044604925031e-14,-0.675425858836497
"22",-1.11022302462516e-14,-0.552621157229877,0,-0.607883272952846,-2.22044604925031e-14,-0.607883272952847
"23",-1.11022302462516e-14,-0.49735904150689,0,-0.547094945657563,-2.22044604925031e-14,-0.547094945657563
"24",-1.11022302462516e-14,-0.4476231373562,0,-0.492385451091807,-2.22044604925031e-14,-0.492385451091807
"25",-1.11022302462516e-14,-0.40286082362058,0,-0.443146905982625,-2.22044604925031e-14,-0.443146905982626
"26",-1.11022302462516e-14,-0.362574741258523,0,-0.398832215384363,-2.22044604925031e-14,-0.398832215384363
"27",-1.11022302462516e-14,-0.326317267132669,0,-0.358948993845928,-2.22044604925031e-14,-0.358948993845927
"28",-1.11022302462516e-14,-0.293685540419404,0,-0.323054094461334,-2.22044604925031e-14,-0.323054094461334
"29",-1.11022302462516e-14,-0.264316986377463,0,-0.290748685015201,-2.22044604925031e-14,-0.290748685015201
"30",-1.11022302462516e-14,-0.237885287739716,0,-0.261673816513682,-2.22044604925031e-14,-0.261673816513681
"31",-1.11022302462516e-14,-0.214096758965744,0,-0.235506434862313,-2.22044604925031e-14,-0.235506434862313
"32",-1.11022302462516e-14,-0.192687083069171,0,-0.211955791376081,-2.22044604925031e-14,-0.211955791376082
"33",-1.11022302462516e-14,-0.173418374762254,0,-0.190760212238474,-2.22044604925031e-14,-0.190760212238474
"34",-1.11022302462516e-14,-0.156076537286029,0,-0.171684191014626,-2.22044604925031e-14,-0.171684191014626
"35",-1.11022302462516e-14,-0.140468883557425,0,-0.154515771913164,-2.22044604925031e-14,-0.154515771913164
"36",-1.11022302462516e-14,-0.126421995201683,0,-0.139064194721847,-2.22044604925031e-14,-0.139064194721847
"37",-1.11022302462516e-14,-0.113779795681515,0,-0.125157775249662,-2.22044604925031e-14,-0.125157775249663
"38",-1.11022302462516e-14,-0.102401816113363,0,-0.112641997724696,-2.22044604925031e-14,-0.112641997724696
"39",-1.11022302462516e-14,-0.0921616345020268,0,-0.101377797952227,-2.22044604925031e-14,-0.101377797952227
"40",-1.11022302462516e-14,-0.082945471051824,0,-0.091240018157004,-2.22044604925031e-14,-0.0912400181570039
"41",-1.11022302462516e-14,-0.0746509239466417,0,-0.0821160163413036,-2.22044604925031e-14,-0.0821160163413036
"42",-1.11022302462516e-14,-0.0671858315519774,0,-0.0739044147071732,-2.22044604925031e-14,-0.0739044147071732
"43",-1.11022302462516e-14,-0.0604672483967797,0,-0.0665139732364559,-2.22044604925031e-14,-0.0665139732364559
"44",-1.11022302462516e-14,-0.0544205235571018,0,-0.0598625759128103,-2.22044604925031e-14,-0.0598625759128103
"45",-1.11022302462516e-14,-0.0489784712013917,0,-0.0538763183215292,-2.22044604925031e-14,-0.0538763183215293
"46",-1.11022302462516e-14,-0.0440806240812525,0,-0.0484886864893764,-2.22044604925031e-14,-0.0484886864893764
"47",-1.11022302462516e-14,-0.0396725616731271,0,-0.0436398178404387,-2.22044604925031e-14,-0.0436398178404387
"48",-1.11022302462516e-14,-0.0357053055058145,0,-0.0392758360563948,-2.22044604925031e-14,-0.0392758360563949
"49",-1.11022302462516e-14,-0.032134774955233,0,-0.0353482524507554,-2.22044604925031e-14,-0.0353482524507554
